vedette	inversée	étymologie avec grec
acholie	eilohca	de a. priv., et χολγ, bile : absence de la bile
achorèse	esèrohca	de a priv., et χώρησις, place, capacité
achroma	amorhca	de a. privatif, et χρώμα, couleur; chloasma album, leucopathia partialis acquisita
achromatique	euqitamorhca	de a priv., et χρώμα, couleur
achromatopsie	eispotamorhca	de a priv., χρώμα., couleur, et ό'ψις, vue
achrqnizoïque	euqïozinqrhca	de a. priv., et χρόνιζε«, durer
acidostéophyte	etyhpoétsodica	de άκίς, pointe, et ostéophyte
acine	enica	de άκινος, grain de raisin
acinésie	eisénica	de a priv., et κινεϊν, mouvoir
acinétique	euqiténica	de a'privatif, et κινεΐν, mouvoir
acmastique	euqitsamca	de ακμή, vigueur
acmé	émca	C’est ainsi qu’on devrait dire au lieu de acné, car άκνή est une faute de copiste dans Aétius, pour ακμή, efflorescence. Cette faute a pris place dans la langue médicale
acognosie	eisongoca	de άκος, remède, et yvôat;, connaissance
acologie	eigoloca	de άκος, remède, et λόγος, discours
acomie	eimoca	de a priv., et κόμη, chevelure
acope	epoca	de a priv., et κόπος, lassitude
acosmie	eimsoca	de a. privatif, et κόσμος, ordre
acotylédoné	énodélytoca	de a priv., et κοτυλτ,όωυ, cotylédon : sans cotylédon
acoumètre	ertèmuoca	de άκούίΐυ, entendre, et μέτρου, mesure
acousmétrique	euqirtémsuoca	de άκουσμα, son, et μέτρου, mesure
acoustique	euqitsuoca	de ακούω, j’entends
acranie	einarca	de a priv., et κρανίου, crâne
acrasie	eisarca	de a priv., et κράσις, modération
acratie	eitarca	de a priv., et κράτος, force: débilité
âcre	ercâ	de άκ’ις, pointe, piquant
acribomètre	ertèmobirca	de άκριβης, exact, et μέτρου, mesure
acridophages	segahpodirca	de άκρίς, sauterelle, et φαγεϊυ, manger
acrinie	einirca	de a priv., οΐκρίνειν, séparer
acrisie	eisirca	de a priv., et κρίσις, crise
acrobystiolithe	ehtiloitsyborca	de ακροβυστία, prépuce, et λίθος, pierre
acrobystite	etitsyborca	de άκροβυστία, prépuce
acrochordon	nodrohcorca	de άκρος, extrémité, élévation, et χορίη, corde
acrodynie	einydorca	de άκρος, extrémité, et ί^ύνη, douleur
acrogène	enègorca	de άκρος, sommet, et d’un radical usité seulement en composition, γε?ής, engendré
acromion	noimorca	de άκρος, sommet, et ωμός, épaule
acromphale	elahpmorca	de άκρος, extrémité, et όμφαλός, nombril
acroposthie	eihtsoporca	de άκρος, extrémité, et πόσθη, prépuce
acrosabque	euqbasorca	de άκρος, sommet, et σαρξ, chair, pulpe
acrotériasme	emsairétorca	de ακρωτηριάζει?, mutiler, de άκρος, extrémité
acrotériose	esoirétorca	de ακρωτήριο?, extrémité
acrothymion	noimyhtorca	de άκρος, élevé, et θύμιο?, verrue
actinenchyme	emyhcnenitca	de άκτιν, rayon, et έγχυμα, parenchyme
actinie	einitca	de άκτ'ι?, rayon
actinobolisme	emsilobonitca	de άκτ'ι?, rayon, et βόλος, coup
actinophthalme	emlahthponitca	de άκτΐ?, rayon, et οφθαλμός, œil
actinostéophyte	etyhpoétsonitca	de άκτιν, rayon, et ostéophyte
acuophonie	einohpouca	de άκούειν entendre, et φώνη, voix
acyanoblepsie	eispelbonayca	de a privatif, κυανός, bleu, et βλέψις, vue
acyclie	eilcyca	de a priv., et κύκλος, cercle
acyésie	eiséyca	de a priv., et κυεϊν, concevoir
acystie	eitsyca	de a priv., et κύστις, vessie
acystinervie	eivrenitsyca	de a priv., κύστις, vessie, et νεϋρον, nerf
addéphagie	eigahpédda	de ά^/ιν ou ÂWw, beaucoup, et φαγεΐν, manger
adélide	ediléda	mot mal fait de άδηλοί, occulte
adéliparie	eirapiléda	de beaucoup, et λιπαρός, gras
adelphe	ehpleda	de αδελφός, frère
adémonie	einoméda	de αδημονία, abattement
adénalgie	eiglanéda	de άίήν, glande; et άλγεϊν, souffrir
adénectopie	eipotcenéda	de ά^ήν, glande, et ectopi'e
adénemphraxie	eixarhpmenéda	de ά^ήν, glande, et emphraxie
adénochirapsologie	eigolosparihconéda	de , glande, χειραψία, imposition des mains, et λόγος, discours
adénodiastase	esatsaidonéda	de άίήν, glande, et diastase
adénographie	eihpargonéda	de ά^ήν, glande, et γράφει?, décrire
adénoïde	edïonéda	de ά^ήν, glande, et vAcz, forme
adénologadite	etidagolonéda	de άίήν, glande, et λογάδες, blanc de l’œil
adénologie	eigolonéda	de àdrn, glande, et λόγος, discours
adénomalacie	eicalamonéda	de άίήν, glande, et μαλακός, mou
adéno-méningé	égniném-onéda	de άίή?, glande, et μήνιγξ, membrane
adénoncose	esocnonéda	de ùhm, glande, et όγκωσις, tumeur
adénopathie	eihtaponéda	de glande, et πάθος, maladie
adéno-pharyngien	neignyrahp-onéda	de ά^ήν, glande, et φάρυγξ, pharynx
adénophthalmie	eimlahthponéda	de id’m, glande, et οφθαλμός, œil
adénosclérose	esorélcsonéda	de àShn glande, et σκληρός, dur
adénosynchitonite	etinotihcnysonéda	de άίήν, glande, et συγχιτών, mot qui n’est pas grec, de συ?, avec, et χιτών, tunique, pour dire la conjonctive
adénotomie	eimotonéda	de άίήν, glande, et τέμνε«, couper
adiante	etnaida	de a priv., et ίιαίνειυ, mouiller : c’est-à-dire, non mouillé
adiaphorèse	esèrohpaida	de a priv., et ^ιάφορτ,σις, diaphorèse
adiapneustie	eitsuenpaida	de a priv., et ίιαπνεϊν, transpirer
adiathésique	euqiséhtaida	de a priv., et ίιάθεσις, diathèse
adipeux	xuepida	de adeps, graisse; λιπαρός
adipsie	eispida	de a priv., et ίίψα, soif
adragant	tnagarda	de zfc.yàv.anbv., Astragalus tragacantha, L de τράγος, bouc, et άκανθα, épine
adynamie	eimanyda	de a privatif, et ίύναμις, force
ædœite	etiœdæ	de αίίοϊα, les parties génitales
ædœoblennorrhée	eéhrronnelboœdæ	de αιδοία, parties génitales, et blennorrhée
ædœodynie	einydoœdæ	de aùhïa, les parties génitales, et οδύνη, douleur
ædœographie	eihpargoœdæ	de αιδοία, les parties génitales, et γράφε«, décrire
ædœologie	eigoloœdæ	de αιδοία, les parties génitales, et λόγος, discours
ædœomycodermite	etimredocymoœdæ	de αιδοία, les parties génitales, μϋκος, mucus, et δέρμα, membrane
ædœopsophie	eihpospoœdæ	de αιδοία, parties génitales, et ψόφος, bruit
ædœoscopie	eipocsoœdæ	de αιδοία, les parties génitales, et σκοπεί? , explorer
ædœotomie	eimotoœdæ	de αιδοία, les parties génitales, et τέμνειν, couper
ægagre	ergagæ	de αιξ, chèvre, et άγριος, sauvage ; Capra œgagrus, Gmelin
aérhémogtonie	einotgoméhréa	de άήρ, air, αίμα, sang, et ζτό?ος, action de tuer; on dit quelquefois à tort aérhémotoxie : τοξικό? donne une fausse idée, l’air introduit ne tue pas comme un poison
aérocystes	setsycoréa	de αήρ, air, et κύστις, vessie
aérodermectasie	eisatcemredoréa	de άήρ, air, δέρμα, peau, et έζτασις, distension
aérodynamique	euqimanydoréa	de άήρ, air, et δύ?αμις, force
aérographie	eihpargoréa	de άήρ, air, et γράφει?, décrire
aérohydropathie	eihtapordyhoréa	de άήρ, air, ύδωρ, eau, et πάθος, affection
aérolithe	ehtiloréa	de άήρ, air, et λίθος, pierre
aerologie	eigolorea	de άήρ, air, et λόγος, discours
aéromètre	ertèmoréa	de άήρ, air, et μέτρο?, mesure
aérophobie	eibohporéa	de άήρ, air, et φόβος, peur: horreur de l’air
aérophytes	setyhporéa	de άήρ, air, et φύτο?, plante
aérostatique	euqitatsoréa	de άήρ, air, et statique
æsthésiologie	eigoloiséhtsæ	de αίσθησις, sensation, et λόγος, discours
aéthéogamie	eimagoéhtéa	de a privatif, ήθος, habitude, et γάμος, noce
æthrioscope	epocsoirhtæ	de αιθρία, sérénité et fraîcheur de l’air, et σκοπέ«, explorer
æthuse	esuhtæ	de αιθειν, brûler, à cause de l’âcreté des ombellifères auxquelles les anciens donnaient ce nom 
aétite	etitéa	de αετός, aigle
affium	muiffa	Transformation arabe du mot grec όπιον, opium
agalacte	etcalaga	de a privatif, et γάλα, lait
agalactie	eitcalaga	de a. privatif, et γάλα, lait
agamie	eimaga	de a privatif, et γάμος, noces,'mariage 
agave	evaga	lat. agave, ά’άγαυός, admirable
agénésie	eisénéga	de a priv., et γε'νεσις, génération
agénosome	emosonéga	de a privatif, γεννάω, j’engendre, et σώμα, corps
agérasie	eisaréga	de a priv., οίγνίρας, vieillesse
ageustie	eitsuega	de a privatif, et γεΰσις, goût
aglossie	eissolga	de a priv., et γλώσσα, langue
aglossostomatogbaphie	eihpabgotamotsossolga	de a privatif, γλώσσα, langue, στόμα, bouche, et γράφω, je décris
aglossostome	emotsossolga	de a priv., γλώσσα, langue, et στόμα,bouche
agmatologie	eigolotamga	de ΰβάγμα fracture, et λόγος, discours
agnathe	ehtanga	de a privatif, et γνάθος, mâchoire
agnus-castus	sutsac-sunga	gattilier commun; Uysc; de αγνός, chaste
agomphiase	esaihpmoga	de a priv., et γόμφωσις, lien, jonction
agonie	einoga	de agonia, angoisse de αγών, combat
agonistique	euqitsinoga	de αγών, combat
agrielcose	esocleirga	de άγριος, sauvage, et ελκωσις, ulcération
agriothymie	eimyhtoirga	de άγριος, sauvage, et θυμός, le moral
agrostiographie	eihpargoitsorga	de άγρωστις, gramen, et γράφειν, décrire
agrypnie	einpyrga	de a priv., et ύπνος, sommeil
agrypnocoma	amoconpyrga	de άγρυπνος, sans sommeil, et κώμα, assoupissement
agynaire	erianyga	de a priv., et γυνή, femme
agynique	euqinyga	de a priv., et γυνή, femme
aimant	tnamia	ancien franç, aimant, de adamas, diamant et aussi aimant; magnes, ρ.ί·γιτς, vulgairement pierre d’aimant
akène	enèka	de a priv., et χαίυειυ, s’ouvrir
akidopéirastiqee	eeqitsariépodika	de άκίς, aiguille, et πείραν, tenter
akiurgie	eigruika	de άκίς, άκίίος, pointe, et έργου, œuvre
aknémie	eiménka	de a priv., et κνήμη, jambe
akyanoblepsie	eispelbonayka	de a priv., κυανός, bleu, et βλέπειν, voir
alalie	eilala	de a priv., et λαλεΐν, parler
alambic	cibmala	de la particule arabe«/, le, et άμβιξ, pot, marmite 
albugo	ogubla	de albus, blanc; en grec, άργεμα
albumen	nemubla	de albus, blanc; τό λευκόν τοΰ &>ου
albuminurie	eirunimubla	dealbumine, et ούρέϊν, pisser;
alcalimètre	ertèmilacla	de alcali, et μέτθον, mesure
alcaloïde	edïolacla	de alcali, et είδος, ressemblance;
alchimie	eimihcla	de al, article arabe, et de χψία, chimie
alcoolomètre	ertèmoloocla	de alcool, et μέτρον, mesure
alector	rotcela	de άλέκτωρ, coq
aleurone	enoruela	de άλευρο?, farine
alexipharmaque	euqamrahpixela	de άλε'ξειν, repousser, et φάρμακο?, venin, poison; synonyme d’antidote;
alexipyrétique	euqitérypixela	de άλε'ξει?; repousser, et πυρετός, fièvre
alexitère	erètixela	de άλεξητήριος, secourable : το άλεξητήριο?, sous-entendu φάρμακο?, le médicament secourable ; l’i dans alexitère, au lieu de alexétère, est un reste de l’iotacisme moderne, où Γη se prononce i
algalie	eilagla	bas latin argàlia, du bas grec αργαλειού, du grec εργαλείου, instrument de έργου, œuvre ; catheter,
algedo	odegla	ΰ’άλγέω, je souffre
aliforme	emrofila	de ala, aile, et forma, forme; πτερυγώδης
aliptique	euqitpila	de άλείφειν, oindre; ail, Salbekunst
allagostémone	enométsogalla	de αλλαγή, changement, et στημων, filament
allantoïde	edïotnalla	de άλλάς, saucisse, et ειίσς, forme
allantotoxicon	nocixototnalla	de άλλάς, saucisse, boudin, et τοξικόν, poison
allenthèse	esèhtnella	de άλλος, étranger, et ένθεσις, introduction
allochézie	eizéhcolla	de άλλος, autre, et χεζεω, décharger le ventre
allochromasie	eisamorhcolla	de άλλος, autre, et χρώμα, couleur
allœotique	euqitoœlla	de άλλοίω, je change
allomorphie	eihpromolla	de άλλος, autre, et μορφή, forme
allopathie	eihtapolla	de άλλος, autre, et πάθος, maladie
allotriodontie	eitnodoirtolla	de άλλότριος, étranger, et οίους, dent
allotriophagie	eigahpoirtolla	de άλλότοιος, étranger, insolite, et φαγεΐν, manger
allotriotecnie	eincetoirtolla	de άλλοτριος, étranger, et τέκνου, enfant
allotrophique	euqihportolla	de άλλος, autre, et τροφή, nourriture
allotropie	eiportolla	de άλλος, autre, et τρόπος, manière d’être
alogotrophie	eihportogola	de άλογος, disproportionné, et τροφή, nutrition
alopécie	eicépola	de άλώπηξ, renard, parce que le renard est sujet à une maladie qui lui fait tomber les poils
alphitédon	nodétihpla	de άλφιτηδον, en forme de farine d’orge
alphitomorphe	ehpromotihpla	de άλφιτον, farine d’orge, et μορφή, forme
alphos	sohpla	de άλφος, blanc (lepra alphos, lepra leuce, vitiligo alba, albaras d’Avicenne)
althæa	aæhtla	de αλθειν, guérir
amanite	etinama	de Αμανές, montagne de la Cilicie où l’on en trouvait beaucoup 
amarantacées	seécatnarama	de a priv., et μαραίνέιν, se faner
amaurose	esoruama	de άμαυρε'ω, j’obscurcis
amazie	eizama	de a priv., et μαζος, mamelle
ambi	ibma	par iotacisme, du grec άμβη, ambe, qui signifie proprement rebord;
amblotique	euqitolbma	de άμβλωσις, avortement
amblyopie	eipoylbma	de αμβλύς, émousse, obtus, et de ώψ, œil
ambroisie	eisiorbma	de αμβροσία, aliment immortel, de άμβροτος, immortel, de a priv., et βροτός, mortel
aménie	einéma	de a privatif, et μην, mois
aménomanie	einamonéma	de amœnus, agréable, et μαυία, manie;
aménorrhée	eéhrronéma	de a privatif, μην, mois, et ρεϊυ, couler
amétrie	eirtéma	de a privatif, et μήτρα, matrice
amétrope	eportéma	de a privatif, μέτρου, mesure, et ώψ, œil
amiante	etnaima	de a. privatif, et μιαίνει?, gâter;
amidon	nodima	de a privatif, et μύλη, meule
ammoniémie	eiméinomma	de ammoniaque, et αίμα, sang
amnésie	eisénma	de a privatif, et | μνησις, mémoire
amorphe	ehproma	de a privatif, et μορφή, forme, figure
ampélidées	seédilépma	de άμπελος, vigne
amphémérine	eniréméhpma	de άμφημε'ρινος, de άμφί, autour, et ήμε'ρα, jour
amphiarthrose	esorhtraihpma	de άμφί, qui,, dans les composés, signifie de part et d’autre, et άρθρωσές, articulation 
amphibie	eibihpma	de άμφί, de part et d’autre, et βίες, vie
amphiblestroïde	edïortselbihpma	de άμφίβληστρον, filet, et εΐΑος, apparence
amphicarpide	edipracihpma	de άμφί, tout autour, et καρπός, fruit
amphide	edihpma	de άμφί, de part et d’autre
amphiderme	emredihpma	de άμφί, autour, et ίέρμα, derme
amphigame	emagihpma	de άμφί, des deux côtés, et γάμες, mariage
amphigène	enègihpma	de άμφί, de part et d’autre, et γεννάω, j’engendre
amphisarque	euqrasihpma	de άμφί, autour, et σάρξ, chair
amphisbène	enèbsihpma	de άμφίς, dans les deux sens, et βαίνειν, aller
amphismile	elimsihpma	de άμφί, de part et d’autre, οΕσμίλη, scalpel
amphistome	emotsihpma	de άμφί, des deux côtés, et στόμα, bouche
amphithéâtre	ertâéhtihpma	de άμφί, autour, etôeàoflat, regarder
amphitrope	eportihpma	de άμφί, des dem côtés, είτρέπειν, tourner
amphodiplopie	eipolpidohpma	deux, ίιπΛεΰς, double, et ωψ, vue
amyélencéphalie	eilahpécneléyma	de a priv., μυελός, moelle, et εγκέφαλος, encéphale
amyélie	eiléyma	de a priv., et μυελός, moelle
amyélonévrie	eirvénoléyma	de a priv., μυελός, moelle, et νεϋρεν, nerf
amyélotrophie	eihportoléyma	de a priv., μυελός, moelle, et τροφή, nourriture
amygdale	eladgyma	de αμυγδαλή, amande
amygdalin	niladgyma	de άμυγδιχλη, amande
amygdaline	eniladgyma	de άμ.υγίάλη, amande
amygdalotome	emotoladgyma	de amygdale, et τέμυειν, couper
amyosthénie	einéhtsoyma	de a priv., μυς,' muscle, et σθένος, force
amyotrophie	eihportoyma	de a priv., μϋς, muscle, et τροφή, nourriture
amyxie	eixyma	de a priv., et μύξα, mucus
anabæne	enæbana	de άναβαίνειν, monter, de άνά, en haut, et βαίνειν, aller
anabatique	euqitabana	de άναβαίνειν, monter
anabrochisme	emsihcorbana	de άνά, avec, à travers, et βροχές, nœud, lacet
anabrose	esorbana	de άναβρώσκω, je ronge, de άνά, indiquant extension, et βρώσκείν, manger
anacarde	edracana	de άνά, selon, et καρίία, cœur
anacatharsie	eisrahtacana	de άνά, en haut, et καθαίρειν, purger
anadose	esodana	de άνά, distributivement, et ίίίωμι, je donne
anadrome	emordana	de ma., en haut, et δρόμος, course
anædoé	éodæna	de αν privatif, et αινείαν, parties génitales
anaéroïde	edïoréana	de αν priv., et άηρ, air
anaéroplastique	euqitsalporéana	de αν privatif, άηρ, air, et πλάσσειν, former
anagénèse	esènégana	de άνά, indiquant restauration, et γε'νεσις, génération
analepsie	eispelana	de άνά, derechef, et λαμβάνειν, prendre
analgésie	eiséglana	de αν privatif, et άλγος, douleur
anallantoïdien	neidïotnallana	de αν, priv., et allaritmdien
analogie	eigolana	de άνά, selon, et Μγς, la raison 
analogue	eugolana	de άνά, selon, , et λόγος, la. raison, la règle 
analyse	esylana	de άνά, distributivement, et λύω, je dissous, je résous
anamnèse	esènmana	de àvà, derechef, et μνήσις, mémoire
anamnestique	euqitsenmana	de άνά, derechef, et μνήσις, souvenir
anamorphose	esohpromana	de άνά, indiquant renouvellement, et μορφή, forme
anandrie	eirdnana	de αν privatif, et άνηρ, homme
anaphonèse	esènohpana	de άνά, en haut, et φωνή, voix
anaphrodisie	eisidorhpana	de αν privatif, et Αφροδίτη, Vénus
anaphyse	esyhpana	de άνά, derechef, et φύσις, nature
anaplasie	eisalpana	de άνά, derechef, et πλάσσειν, former
anaplastie	eitsalpana	de άναπλάσσειν, refaire, de άνά, indiquant rénovation, et πλάσσειν, former
anaplérose	esorélpana	de άναπληρόω, je remplis, je complète, de άνά, indiquant renouvellement, et πληρούν, emplir
anapnoïque	euqïonpana	de άναπνοη, respiration, de άνά, indiquant répétition, et πνειν, souffler
anarrhique	euqihrrana	de άναρριγ^άσθαι, aller en haut; loup de mer, chat marin (A.)
anasarque	euqrasana	de άνά, autour, et σαρξ, chair
anaspadias	saidapsana	de άνά, en haut, et σπάω, je divise
anastaltique	euqitlatsana	de άνά, sur, et στέλλειν, serrer
anastœchiose	esoihcœtsana	de άνά, indiquant séparation, et στειχειον, élément
anastomose	esomotsana	de άνά, avec, ensemble, et στόμα, bouche
anatomie	eimotana	de άνά, distributivement, et -wA, section ;
anatrèse	esèrtana	de άνά, indiquant cheminement, et τράω, je perce
anatripsiologie	eigoloispirtana	deάνάτριψις,friction, βΐλόγός, discours, traité
anatrope	eportana	de άνά, re, et τρε'πειν, tourner
anaudie	eiduana	de αν, priv., et αύδή, voix
anazotique	euqitozana	de αν privatif, tiazote
anazoturie	eirutozana	de αν privatif, azote, et εύρεν, urine
anchilops	spolihcna	de άγχι, proche, et ώψ, œil
anconagre	erganocna	de άγκών, coude, et άγρα, proie, capture
anconé	énocna	de άγκών, olécrâne
anconocace	ecaconocna	de άγκών, coude, et κακός, malade
ancyroïde	edïorycna	de άγκυρα, ancre, et ειΑες, forme
andralogomèle	elèmogolardna	de άνηρ, gén. άντρες, homme, άλεγες, privé déraison, et μηλεν, qui signifie toute espèce d’animaux domestiques
andranatomie	eimotanardna	de άνάρ, άντρες, homme, et άνατομη, anatomie
andrœcie	eicœrdna	de άνηρ, άντρες, mâle, et wm, demeure
androgénie	einégordna	de άνήρ, homme, et γεννάν, engendrer
androgynaire	erianygordna	de άνηρ, gén. άνίρές, homme, et γυνή, femme
andromanie	einamordna	de άνηρ, gén. άν^ρός, homme, et μανία, fureur, folie
androme	emordna	grec moderne άν£ρεμ.η
andropétale	elatépordna	de άνηρ, mâle, ti pétale
androphore	erohpordna	de άνάρ, gén. άνίρός, mâle, et φέρω, je porte
anectasie	eisatcena	de αν priv., et έκτασις, | extension
anélectrique	euqirtceléna	de αν priv., et ήλεκτρον, sucj ein
anémie	eiména	de αν priv., et αίμα, sang
anémocymètre	ertèmycoména	de άνεμος, vent, ώκΰς, rapide, et μέτρον, mesure
anémographie	eihpargoména	de άνεμος, vent, et γράφειν, décrire
anémomètre	ertèmoména	de άνεμος, vent, et μέτρον, mesure
anémone	enoména	de άνεμος, vent, parce que sa fleur ne s’ouvre que par le vent, selon Pline
anémoscope	epocsoména	de άνεμος, vent, et σκοπειν, regarder
anencéphale	elahpécnena	de αν priv., et de έγκέφαλος, encéphale, cerveau
anencéphalohémie	eiméholahpécnena	de αν priv., εγκέφαλος, encéphale, et αίμα, sang
anencéphaloneurie	eiruenolahpécnena	de αν priv., εγκέφαλος, encéphale, et νεϋρον, nerf
anencéphalotrophie	eihportolahpécnena	de αν priv., εγκέφαλος, encéphale, et τροφή, nourriture
anépiploïque	euqïolpipéna	de αν priv., et épiploon
anépischèse	esèhcsipéna	de αν priv., βΐέπίσχω, j’arrête
anépithymie	eimyhtipéna	de αν priv., et επιθυμία, désir
anérythroblepsie	eispelborhtyréna	de αν priv., ερυθρός, rouge, et βλέπειν, voir
anesthécinésie	eisénicéhtsena	de αν, priv., αισθησις, sentiment, et κίνησις, mouvement
anesthésie	eiséhtsena	de αν priv., et atσθζ,σις, sensibilité
anétique	euqiténa	de άνίημι, je relâche
anévrie	eirvéna	de a priv,, et νεΰρον, nerf
anévrysme	emsyrvéna	de άνευρύνειν, dilater, distendre, de άνά, indiquant extension, et εύρυς, large
angidiospongus	sugnopsoidigna	de άγγεί^ιον, petit vaisseau, et σπόγγος, champignon
angiectasie	eisatceigna	de άγγεΐον, vaisseau, et «κτασις, dilatation, extension
angiectopie	eipotceigna	de άγγεΐον, vaisseau, et ectopie
angielcose	esocleigna	de άγγεΐον, vaisseau, et ελκωσις; ulcération
angiemphraxie	eixarhpmeigna	de άγγεΐον, vaisseau, et emphraxie
angiite	etiigna	ά’άγγεΐον, vaisseau, et de la désinence ite, commune à toutes les dénominations de phlegmasies
angiocarpe	epracoigna	de άγγείον, vase, réceptacle, et καρπός, fruit
angiodiastase	esatsaidoigna	de άγγείον, vaisseau, et διάστασις, dilatation
angiogénie	einégoigna	de άγγείον, vaisseau, et γενεσις, génération
angiographie	eihpargoigna	de άγγείον, vaisseau, et γράφειν, décrire
angiohémie	eiméhoigna	de άγγείον, vaisseau, et αίμα, sang
angioïtis	sitïoigna	de άγγείον, vaisseau
angioleucite	eticueloigna	de άγγείον, vaisseau, λευκός, blanc, et la terminaison ite, commune à toutes les dénominations des phlegmasies;
angiologie	eigoloigna	de άγγείον, vaisseau, et λόγος, discours
angiomycès	sècymoigna	de άγγείον, vaisseau, et μύκη;, champignon
angionome	emonoigna	de άγγείον, vaisseau, et νομή, ulcération
angiopathie	eihtapoigna	de άγγείον, vaisseau, et πάθος, affection
angioplanie	einalpoigna	de άγγείον, vaisseau, et πλάνη, erreur
angioplérose	esorélpoigna	de άγγείον, vaisseau, et πλήρώσίς, réplétion
angioploce	ecolpoigna	de άγγείον, vaisseau, et πλοκή, plissement 
angiopyrie	eirypoigna	de άγγείον, vaisseau, et πΰρ, fièvre
angiorrhagie	eigahrroigna	de άγγείον, vaisseau, et l’inusité ραγία, éruption, de ρήγνυμι, je romps, je coule
angiorrhée	eéhrroigna	de άγγεΐον, vaisseau, et ρε'ειν, couler
angiosialite	etilaisoigna	de άγγεΐον, vaisseau, et σίαλον, salive
angiospermie	eimrepsoigna	de άγγεΐον, vase, et σπέρμα, semence
angiospongus	sugnopsoigna	de άγγεΐον, vaisseau, et σπόγγος, champignon
angiospore	eropsoigna	de άγγεΐον, vase, réceptacle, et σπορά, semence
angiostegnotique	euqitongetsoigna	de άγγεΐον, vaisseau, et στεγνοΰν, resserrer
angiosténose	esonétsoigna	de άγγεΐον, vaisseau, et στε'νωσις, rétrécissement
angiostéose	esoétsoigna	de άγγεΐον, vaisseau, et όστε'ον, os
angiostrophe	ehportsoigna	de άγγεΐον, vaisseau, et στροφή, torsion
angioténique	euqinétoigna	de άγγεΐον, vaisseau, et τείνε«, tendre 
angiotomie	eimotoigna	de άγγεΐον, vaisseau, et τομή, section
anhémase	esaméhna	de αν privatif, et αίμα, sang
anhiste	etsihna	de αν privatif, et ιστός, tissu
anhydre	erdyhna	de αν privatif, et ύδωρ, eau
anhydromyélie	eiléymordyhna	de αν privatif, ύδωρ, eau, et μυελός, la moelle
anidiens	sneidina	de αν priv., et de είδος, forme
anidrose	esordina	de αν privatif, et ίδρώς, sueur,
aniridie	eidirina	de αν priv., et iris
anischurie	eiruhcsina	de αν priv., et ischurie
anisostémone	enométsosina	de άνισος, inégal, et στήμών, chose dressée
anisotome	emotosina	de άνισ;;, inégal, et τομή, section
ankylentérie	eirétnelykna	de αγκύλη, frein, et έντερον, intestin
ankyloblépharon	norahpélbolykna	de άγκύλη, frein, et βλεφαρον, paupière
ankylochilie	eilihcolykna	de άγκύλη, frein, et χείλος, lèvre
ankylocolpe	eplocolykna	de αγκύλη, frein, et κόλπος, vagin
ankylocore	erocolykna	de άγκύλη, frein, et κόρη, pupille
ankylodontie	eitnodolykna	de αγκύλη, frein, et όίαυς, dent
